YEAR,MONTH,HIERARCHY,MONTH_NUM,MONTH_ORDER,MONTH_NAME,EMPLOYER_PAY_FREQUENCY,EMPLOYER_ID,Branch_Submissions,MOST_SELECTED_DATE,NUMBER_OF_TIMES_DATE_WAS_SELECTED,LAST_UPDATE
2026,1,GOVERNMENT,1,2026-1,2026 Jan,MONTHLY,BFSEMP0000000001,1,2026-01-30,1,2026-04-02 14:04:38.460
2026,2,GOVERNMENT,2,2026-2,2026 Feb,MONTHLY,BFSEMP0000000001,1,2026-02-27,1,2026-04-02 14:04:38.460
2026,3,GOVERNMENT,3,2026-3,2026 Mar,MONTHLY,BFSEMP0000000001,1,2026-03-31,1,2026-04-02 14:04:38.460
2026,4,GOVERNMENT,4,2026-4,2026 Apr,MONTHLY,BFSEMP0000000001,1,2026-04-30,1,2026-04-02 14:04:38.460
2026,5,GOVERNMENT,5,2026-5,2026 May,MONTHLY,BFSEMP0000000001,1,2026-05-29,1,2026-04-02 14:04:38.460
2026,6,GOVERNMENT,6,2026-6,2026 Jun,MONTHLY,BFSEMP0000000001,1,2026-06-30,1,2026-04-02 14:04:38.460
2026,7,GOVERNMENT,7,2026-7,2026 Jul,MONTHLY,BFSEMP0000000001,1,2026-07-31,1,2026-04-02 14:04:38.460
2026,8,GOVERNMENT,8,2026-8,2026 Aug,MONTHLY,BFSEMP0000000001,1,2026-08-31,1,2026-04-02 14:04:38.460
2026,9,GOVERNMENT,9,2026-9,2026 Sep,MONTHLY,BFSEMP0000000001,1,2026-09-30,1,2026-04-02 14:04:38.460
2026,10,GOVERNMENT,10,2026-10,2026 Oct,MONTHLY,BFSEMP0000000001,1,2026-10-30,1,2026-04-02 14:04:38.460
2026,11,GOVERNMENT,11,2026-11,2026 Nov,MONTHLY,BFSEMP0000000001,1,2026-11-30,1,2026-04-02 14:04:38.460
2026,12,GOVERNMENT,12,2026-12,2026 Dec,MONTHLY,BFSEMP0000000001,1,2026-12-22,1,2026-04-02 14:04:38.460
2026,1,GOVERNMENT,1,2026-1,2026 Jan,MONTHLY,BFSEMP0000000006,1,2026-01-22,1,2026-04-02 14:04:38.460
2026,2,GOVERNMENT,2,2026-2,2026 Feb,MONTHLY,BFSEMP0000000006,1,2026-02-20,1,2026-04-02 14:04:38.460
2026,3,GOVERNMENT,3,2026-3,2026 Mar,MONTHLY,BFSEMP0000000006,1,2026-03-20,1,2026-04-02 14:04:38.460
2026,4,GOVERNMENT,4,2026-4,2026 Apr,MONTHLY,BFSEMP0000000006,1,2026-04-22,1,2026-04-02 14:04:38.460
2026,5,GOVERNMENT,5,2026-5,2026 May,MONTHLY,BFSEMP0000000006,1,2026-05-22,1,2026-04-02 14:04:38.460
2026,6,GOVERNMENT,6,2026-6,2026 Jun,MONTHLY,BFSEMP0000000006,1,2026-06-22,1,2026-04-02 14:04:38.460
2026,7,GOVERNMENT,7,2026-7,2026 Jul,MONTHLY,BFSEMP0000000006,1,2026-07-22,1,2026-04-02 14:04:38.460
2026,8,GOVERNMENT,8,2026-8,2026 Aug,MONTHLY,BFSEMP0000000006,1,2026-08-21,1,2026-04-02 14:04:38.460
2026,9,GOVERNMENT,9,2026-9,2026 Sep,MONTHLY,BFSEMP0000000006,1,2026-09-22,1,2026-04-02 14:04:38.460
2026,10,GOVERNMENT,10,2026-10,2026 Oct,MONTHLY,BFSEMP0000000006,1,2026-10-22,1,2026-04-02 14:04:38.460
